f,Vo,Vi,mag(H),arg(H)
500,0.882,0.997,-1.064531464,-22.6
1.00E+03,0.708,0.997,-2.973238012,-38
2.00E+03,0.46,0.997,-6.718746533,-50.4
3.00E+03,0.337,0.997,-9.421305149,-53.4
4.00E+03,0.267,0.997,-11.44367794,-53
5.00E+03,0.224,0.997,-12.9689428,-51.1
6.00E+03,0.196,0.997,-14.12878174,-48.4
7.00E+03,0.178,0.997,-14.96550312,-45.6
8.00E+03,0.166,0.997,-15.57174141,-43
9.00E+03,0.156,0.997,-16.1114112,-41
1.00E+04,0.147,0.997,-16.62755647,-38
1.10E+04,0.141,0.997,-16.98952091,-36
1.20E+04,0.136,0.997,-17.303125,-33
